Land-area,Land type,Temperature,Rainfall,Phosphorus,Nitrogen,Rice,Water,Potassium,"Land, growth rate [%]","Percentage of total [%]","Total land per 100 people [ha /100 pers]","Agriculture land per 100 people [ha/100 pers]","Agriculture land per 100 agric people [ha/100 pers]",'Emma,F,20799'
"National Capital District",Mountain soils,3.41E–09,"240.00","240.00",2.55E–07,"Molasses",2.55E–07,"67.20","0.00","","","","",,'Natalie,F,7061'
"Attopu",Saline soils,3.86E–09,"10320.00","10320.00",2.029733,Rice,2.029733,"244","0.00","","1306.33","","",,'Addison,F,6950'
"Sayabouri",Alkaline soils,2.003139,"16389.00","16389.00",5.08E–09,Rice,5.08E–09,"17000.00","0.00","","885.89","","",,'Lillian,F,6869'
"Savannakhet",Peaty soils,2.001137,"21774.00","21774.00",2.01834,"Oil,2.01834,"271","0.00","","340.75","","",,'Brooklyn,F,6767'
"Saravane",Marshy soils,2.784625,"10691.00","10691.00",5.85E–07,"Oil,5.85E–07,"281","0.00","","475.16","","",,'Lily,F,6727'
"Phongsaly",Sandy Soil,1.86E–08,"16270.00","16270.00",2.071873,"Cottonseed",2.071873,"1740.00","0.00","","1153.90","","",,'Hannah,F,6512'
"Oudomxay",Clay Soil,2.653187,"15370.00","15370.00",2.349257,"Wine",2.349257,"1363194.00","0.00","","543.11","","",,'Layla,F,6428'
"Namtha",Silt Soil,2.105878,"9325.00","9325.00",2.000841,"Cotton lint",2.000841,"870.00","0.00","","783.61","","",,'Scarlett,F,5965'
"Luang Prabang",Alluvial soils,2.018042,"16875.00","16875.00",8.6E–08,"Margarine,8.6E–08,"1242","0.00","","500.74","","",,'Aria,F,5893'
"Khammouane",Black soils,3.547536,"16315.00","16315.00",3.011752,"Oil,3.011752,"252","0.00","","665.92","","",,'Zoe,F,5828'
"Houaphanh",Red soils,3.41E–10,"16500.00","16500.00",2.55E–08,Rice,2.55E–08,"268","0.00","","750.00","","",,'Samantha,F,5680'
"Champassack",Laterite soils,3.86E–10,"15415.00","15415.00",3.029733,"Beer of barley",3.029733,"9670.00","0.00","","340.29","","",,'Anna,F,5639'
"Bolikhamsai",Desert soils,3.003139,"14863.00","14863.00",5.08E–10,"Sugar Raw Centrifugal",5.08E–10,"63000.00","0.00","","1039.37","","",,'Leah,F,5563'
"Sekong",Mountain soils,3.001137,"7665.00","7665.00",3.01834,"Molasses",3.01834,"21023.75","0.00","","1344.74","","",,'Audrey,F,5531'
"Amnat Charoen",Saline soils,3.784625,"","",5.85E–08,"Oil,5.85E–08,"244","0.00","","","","",,'Ariana,F,5461'
"Nakhon Phanom",Alkaline soils,1.86E–09,"5507.46","5507.46",3.071873,"Palm kernels",3.071873,"22300.00","0.00","","88.38","","",,'Allison,F,5440'
"Nakhon Ratchasima",Peaty soils,3.653187,"20474.61","20474.61",3.349257,"Oil,3.349257,"257","0.00","","86.19","","",,'Savannah,F,5433'
"Nakhon Sawan",Marshy soils,3.105878,"9588.61","9588.61",3.000841,"Oil,3.000841,"258","0.00","","92.19","","",,'Arianna,F,5240'
"Nakhon Si Thammarat",Sandy Soil,3.018042,"9933.11","9933.11",8.6E–09,"Cottonseed",8.6E–09,"8672.00","0.00","","70.92","","",,'Camila,F,5194'
"Nakhon Nayok",Clay Soil,4.547536,"2119.99","2119.99",4.011752,"Oil,4.011752,"331","0.00","","95.62","","",,'Penelope,F,5062'
"Nan",Silt Soil,3.41E–11,"11461.23","11461.23",2.55E–09,"Cotton lint",2.55E–09,"4336.00","0.00","","275.06","","",,'Gabriella,F,5051'
"Narathiwat",Alluvial soils,3.86E–11,"4471.20","4471.20",4.029733,"Sugar Raw Centrifugal",4.029733,"21000.00","0.00","","81.78","","",,'Claire,F,4991'
"Nong Khai",Black soils,4.003139,"7325.35","7325.35",5.08E–11,"Molasses",5.08E–11,"8000.00","0.00","","91.87","","",,'Aaliyah,F,4850'
"Nonthaburi",Red soils,4.001137,"621.71","621.71",4.01834,"Cottonseed",4.01834,"266.00","0.00","","10.82","","",,'Sadie,F,4823'
"Pathum Thani",Laterite soils,4.784625,"1524.41","1524.41",5.85E–09,"Oil,5.85E–09,"331","0.00","","36.96","","",,'Riley,F,4761'
"Pattani",Desert soils,1.86E–10,"1938.52","1938.52",4.071873,"Cotton lint",4.071873,"127.00","0.00","","37.61","","",,'Skylar,F,4732'
"Phangnga",Mountain soils,4.653187,"4166.95","4166.95",4.349257,"Beer of barley",4.349257,"243596.00","0.00","","198.98","","",,'Nora,F,4708'
"Phatthalung",Saline soils,4.105878,"3421.23","3421.23",4.000841,"Oil,4.000841,"60","0.00","","77.56","","",,'Sarah,F,4647'
"Phayao",Alkaline soils,4.018042,"6329.07","6329.07",8.6E–10,"Sugar Raw Centrifugal",8.6E–10,"693976.00","0.00","","133.38","","",,'Hailey,F,4595'
"Phetchaburi",Peaty soils,5.547536,"6219.25","6219.25",5.011752,"Molasses",5.011752,"327916.00","0.00","","154.97","","",,'Kaylee,F,4513'
"Phetchabun",Marshy soils,3.41E–12,"12656.45","12656.45",2.55E–10,Rice,2.55E–10,"237","0.00","","145.34","","",,'Paisley,F,4473'
"Phichit",Sandy Soil,3.86E–12,"4526.73","4526.73",5.029733,Rice,5.029733,"244","0.00","","82.21","","",,'Kennedy,F,4459'
"Phitsanulok",Clay Soil,5.003139,"10805.64","10805.64",5.08E–12,Rice,5.08E–12,"17000.00","0.00","","142.70","","",,'Ellie,F,4442'
"Phrae",Silt Soil,5.001137,"6532.42","6532.42",5.01834,Rice,5.01834,"268","0.00","","135.17","","",,'Peyton,F,4426'
"Phra Nakhon Si Ayudhya",Alluvial soils,5.784625,"2554.22","2554.22",5.85E–10,Rice,5.85E–10,"271","0.00","","36.46","","",,'Annabelle,F,4324'
"Phuket",Black soils,1.86E–11,"542.52","542.52",5.071873,Rice,5.071873,"281","0.00","","32.62","","",,'Caroline,F,4307'
"Phachinburi",Red soils,5.653187,"4757.86","4757.86",5.349257,"Cottonseed",5.349257,"223016.00","0.00","","60.57","","",,'Madelyn,F,4289'
"Prachuap Khilikhan",Laterite soils,5.105878,"6361.60","6361.60",5.000841,"Oil,5.000841,"331","0.00","","154.65","","",,'Serenity,F,4284'
"Ranong",Desert soils,5.018042,"3294.93","3294.93",8.6E–11,"Oil,8.6E–11,"334","0.00","","281.83","","",,'Aubree,F,4258'
"Ratchaburi",Mountain soils,6.547536,"5191.55","5191.55",6.011752,"Wine",6.011752,"1675000.00","0.00","","70.63","","",,'Lucy,F,4257'
"Rayong",Saline soils,3.41E–13,"3548.64","3548.64",2.55E–11,"Cotton lint",2.55E–11,"120777.00","0.00","","78.75","","",,'Alexa,F,4227'
"Roi Et",Alkaline soils,3.86E–13,"8291.61","8291.61",6.029733,"Margarine,6.029733,"1242","0.00","","73.90","","",,'Alexis,F,4188'
"Sakon Nakhon",Peaty soils,6.003139,"9596.69","9596.69",5.08E–13,"Oil,5.08E–13,"281","0.00","","101.72","","",,'Nevaeh,F,4188'
"Samut Prakarn",Marshy soils,6.001137,"1003.14","1003.14",6.01834,"Beer of barley",6.01834,"1072846.00","0.00","","13.03","","",,'Stella,F,4165'
"Samut Sakhon",Sandy Soil,6.784625,"871.52","871.52",5.85E–11,"Oil,5.85E–11,"60","0.00","","27.15","","",,'Violet,F,4156'
"Samut Songkham",Clay Soil,1.86E–12,"416.31","416.31",6.071873,"Sugar Raw Centrifugal",6.071873,"1405035.00","0.00","","21.78","","",,'Genesis,F,4144'
"Saraburi",Silt Soil,6.653187,"3573.10","3573.10",6.349257,"Molasses",6.349257,"272448.28","0.00","","70.37","","",,'Mackenzie,F,4122'
"Satun",Alluvial soils,6.105878,"2476.63","2476.63",6.000841,Rice,6.000841,"237","0.00","","118.55","","",,'Bella,F,4050'
"Singburi",Black soils,6.018042,"821.70","821.70",8.6E–12,Rice,8.6E–12,"244","0.00","","35.69","","",,'Autumn,F,4034'
"Si Saket",Red soils,7.547536,"8831.62","8831.62",7.011752,Rice,7.011752,"252","0.00","","68.67","","",,'Mila,F,4033'
"Songkhla",Laterite soils,3.41E–14,"7386.90","7386.90",2.55E–12,Rice,2.55E–12,"17000.00","0.00","","67.50","","",,'Kylie,F,3928'
"Sukhothai",Desert soils,3.86E–14,"6589.86","6589.86",7.029733,Rice,7.029733,"268","0.00","","117.60","","",,'Maya,F,3904'
"Suphanburi",Mountain soils,7.003139,"5352.94","5352.94",5.08E–14,Rice,5.08E–14,"290","0.00","","67.12","","",,'Piper,F,3840'
"Surat Thani",Saline soils,7.001137,"12879.29","12879.29",7.01834,"Cottonseed",7.01834,"4500.00","0.00","","172.40","","",,'Alyssa,F,3798'
"Surin",Alkaline soils,7.784625,"8116.38","8116.38",5.85E–12,"Oil,5.85E–12,"331","0.00","","66.50","","",,'Taylor,F,3782'
"Tak",Peaty soils,1.86E–13,"16391.15","16391.15",7.071873,"Oil,7.071873,"334","0.00","","488.99","","",,'Eleanor,F,3704'
"Trang",Marshy soils,7.653187,"4912.87","4912.87",7.349257,"Wine",7.349257,"153481.00","0.00","","92.95","","",,'Melanie,F,3681'
"Trad",Sandy Soil,7.105878,"2816.33","2816.33",7.000841,"Cotton lint",7.000841,"2600.00","0.00","","173.61","","",,'Naomi,F,3677'
"Ubon Ratchathani",Clay Soil,7.018042,"15729.97","15729.97",8.6E–13,"Margarine,8.6E–13,"1242","0.00","","84.14","","",,'Faith,F,3664'
"Udon Thani",Silt Soil,8.547536,"11719.22","11719.22",8.011752,"Beer of barley",8.011752,"578000.00","0.00","","66.19","","",,'Eva,F,3651'
"Uthai Thani",Alluvial soils,3.41E–15,"6723.89","6723.89",2.55E–13,"Sugar Raw Centrifugal",2.55E–13,"208000.00","0.00","","227.89","","",,'Katherine,F,3651'
"Uttaradit",Black soils,3.86E–15,"7831.18","7831.18",8.029733,"Molasses",8.029733,"43755.64","0.00","","177.84","","",,'Lydia,F,3609'
"Yala",Red soils,8.003139,"4516.80","4516.80",5.08E–15,Rice,5.08E–15,"237","0.00","","132.46","","",,'Brianna,F,3582'
"Yasothon",Laterite soils,8.001137,"4157.73","4157.73",8.01834,Rice,8.01834,"252","0.00","","78.58","","",,'Julia,F,3578'
"Ang Thong",Desert soils,8.784625,"967.45","967.45",5.85E–13,Rice,5.85E–13,"257","0.00","","37.07","","",,'Ashley,F,3539'
"Buriram",Mountain soils,1.86E–14,"10312.13","10312.13",8.071873,Rice,8.071873,"268","0.00","","75.99","","",,'Khloe,F,3518'
"Chachoengsao",Saline soils,8.653187,"5345.94","5345.94",8.349257,Rice,8.349257,"271","0.00","","96.83","","",,'Madeline,F,3409'
"Chainat",Alkaline soils,8.105878,"2467.41","2467.41",8.000841,Rice,8.000841,"334","0.00","","69.09","","",,'Ruby,F,3383'
"Chaiyaphum",Peaty soils,8.018042,"12766.21","12766.21",8.6E–14,"Wine",8.6E–14,"119500.00","0.00","","127.94","","",,'Sophie,F,3364'
"Chanthaburi",Marshy soils,9.547536,"6332.01","6332.01",9.011752,"Margarine,9.011752,"1242","0.00","","162.09","","",,'Alexandra,F,3288'
"Chiang Mai",Sandy Soil,3.41E–16,"20088.07","20088.07",2.55E–14,"Oil,2.55E–14,"334","0.00","","146.93","","",,'London,F,3264'
"Chiang Rai",Clay Soil,3.86E–16,"11667.34","11667.34",9.029733,"Sugar Raw Centrifugal",9.029733,"59800.00","0.00","","110.88","","",,'Lauren,F,3072'
"Chonburi",Silt Soil,9.003139,"4358.87","4358.87",5.08E–16,"Molasses",5.08E–16,"22350.00","0.00","","51.21","","",,'Gianna,F,3061'
"Chumphon",Alluvial soils,9.001137,"6003.33","6003.33",9.01834,"Oil,9.01834,"244","0.00","","160.55","","",,'Isabelle,F,3044'
"Kalasin",Black soils,9.784625,"6940.18","6940.18",5.85E–14,"Oil,5.85E–14,"252","0.00","","82.08","","",,'Alice,F,3042'
"Kampaeng Phet",Red soils,1.86E–15,"8599.36","8599.36",9.071873,"Oil,9.071873,"271","0.00","","133.57","","",,'Vivian,F,3040'
"Kanchanaburi",Laterite soils,9.653187,"19464.75","19464.75",9.349257,"Oil,9.349257,"290","0.00","","303.64","","",,'Hadley,F,2992'
"Khon Kaen",Desert soils,9.105878,"10875.71","10875.71",9.000841,"Cottonseed",9.000841,"6096.00","0.00","","67.08","","",,'Jasmine,F,2988'
"Krabi",Mountain soils,9.018042,"4704.06","4704.06",8.6E–15,"Oil,8.6E–15,"331","0.00","","170.29","","",,'Morgan,F,2984'
"Bangkok",Saline soils,10.547536,"1563.74","1563.74",10.011752,"Cotton lint",10.011752,"3048.00","0.00","","2.66","","",,'Kayla,F,2982'
"Lampang",Alkaline soils,3.41E–17,"12522.12","12522.12",2.55E–15,"Margarine,2.55E–15,"1242","0.00","","171.81","","",,'Cora,F,2945'
"Lamphun",Peaty soils,3.86E–17,"4501.62","4501.62",10.029733,"Oil,10.029733,"334","0.00","","109.83","","",,'Bailey,F,2929'
"Loei",Marshy soils,10.003139,"11413.82","11413.82",5.08E–17,"Oil,5.08E–17,"252","0.00","","213.01","","",,'Kimberly,F,2883'
"Lopburi",Sandy Soil,10.001137,"6193.89","6193.89",10.01834,"Oil,10.01834,"237","0.00","","85.90","","",,'Reagan,F,2882'
"Mae Hong Son",Clay Soil,10.784625,"12669.28","12669.28",5.85E–15,"Molasses",5.85E–15,"56000.00","0.00","","799.90","","",,'Hazel,F,2877'
"Maha Sarakham",Silt Soil,1.86E–16,"5286.68","5286.68",10.071873,"Sugar Raw Centrifugal",10.071873,"162000.00","0.00","","60.17","","",,'Clara,F,2833'
"Mukdahan",Alluvial soils,10.653187,"4335.73","4335.73",10.349257,"Beer of barley",10.349257,"1500.00","0.00","","163.86","","",,'Sydney,F,2831'
"Nakhon Pathom",Black soils,10.105878,"2166.27","2166.27",10.000841,"Oil,10.000841,"290","0.00","","34.41","","",,'Trinity,F,2781'
"Nong Bua Lamphu",Red soils,10.018042,"","",8.6E–16,"Oil,8.6E–16,"334","0.00","","","","",,'Natalia,F,2778'
"Sa Kaeo",Laterite soils,11.547536,"","",11.011752,"Wine",11.011752,"12086.00","0.00","","","","",,'Valentina,F,2769'
"Bamingui-bangora",Desert soils,3.41E–18,"58844.60","58844.60",2.55E–16,"Molasses",2.55E–16,"90252.00","0.00","","","","",,'Rylee,F,2753'
"Vakaga",Mountain soils,3.86E–18,"46987.80","46987.80",11.029733,"Margarine,11.029733,"1242","0.00","","","","",,'Jocelyn,F,2744'
"Sangha",Saline soils,11.003139,"18633.00","18633.00",5.08E–18,Rice,5.08E–18,"237","0.00","","","","",,'Maria,F,2740'
"Ouham-pende",Alkaline soils,11.001137,"31922.00","31922.00",11.01834,Rice,11.01834,"244","0.00","","","","",,'Aurora,F,2718'
"Ouham",Peaty soils,11.784625,"53322.30","53322.30",5.85E–16,Rice,5.85E–16,"252","0.00","","","","",,'Eliana,F,2708'
"Ouaka",Marshy soils,1.86E–17,"49538.50","49538.50",11.071873,Rice,11.071873,"258","0.00","","","","",,'Brielle,F,2638'
"Ombella-mpoko",Sandy Soil,11.653187,"31993.90","31993.90",11.349257,Rice,11.349257,"268","0.00","","","","",,'Liliana,F,2624'
"Nana-mambere",Clay Soil,11.105878,"27218.70","27218.70",11.000841,Rice,11.000841,"271","0.00","","","","",,'Mary,F,2611'
"Nana-gribingui",Silt Soil,11.018042,"19849.30","19849.30",8.6E–17,"Beer of barley",8.6E–17,"1096000.00","0.00","","","","",,'Elena,F,2598'
"Mbomou",Alluvial soils,12.547536,"60596.40","60596.40",12.011752,"Oil,12.011752,"60","0.00","","","","",,'Molly,F,2578'
"Mambere-kadei",Black soils,3.41E–19,"29837.30","29837.30",2.55E–17,"Sugar Raw Centrifugal",2.55E–17,"444131.00","0.00","","","","",,'Makayla,F,2559'
"Lobaye",Red soils,3.86E–19,"18631.90","18631.90",12.029733,"Sugar Raw Centrifugal",12.029733,"28000.00","0.00","","","","",,'Lilly,F,2550'
"Kemo",Laterite soils,12.003139,"16627.40","16627.40",5.08E–19,"Molasses",5.08E–19,"8900.00","0.00","","","","",,'Andrea,F,2543'
"Haute-kotto",Desert soils,12.001137,"86603.70","86603.70",12.01834,"Cotton lint",12.01834,"1400.00","0.00","","","","",,'Quinn,F,2539'
"Haut-mbomou",Mountain soils,12.784625,"56723.90","56723.90",5.85E–17,"Cottonseed",5.85E–17,"1900.00","0.00","","","","",,'Jordyn,F,2533'
"Basse-kotto",Saline soils,1.86E–18,"16952.40","16952.40",12.071873,"Beer of barley",12.071873,"6500.00","0.00","","","","",,'Adalynn,F,2512'
"Bangui",Alkaline soils,12.653187,"93.52","93.52",12.349257,"Oil,12.349257,"237","0.00","","","","",,'Nicole,F,2511'
"Vientiane",Peaty soils,12.105878,"15927.00","15927.00",12.000841,"Palm kernels",12.000841,"53916.00","0.00","","522.20","","",,'Delilah,F,2496'
"Vientiane (Munic.)",Marshy soils,12.018042,"3920.00","3920.00",8.6E–18,"Oil,8.6E–18,"252","0.00","","84.48","","",,'Kendall,F,2432'
"Vientiane 2",Sandy Soil,13.547536,"7105.00","7105.00",13.011752,"Oil,13.011752,"257","0.00","","","","",,'Kinsley,F,2429'
"Xiangkhouang",Clay Soil,3.41E–20,"15880.00","15880.00",2.55E–18,"Beer of barley",2.55E–18,"4958.80","0.00","","877.35","","",,'Ariel,F,2419'
"Bokeo",Silt Soil,3.86E–20,"6196.00","6196.00",13.029733,"Beer of barley",13.029733,"19900.00","0.00","","968.12","","",,'Payton,F,2397'
"Mtwara",Alluvial soils,13.003139,"7378.00","7378.00",5.08E–20,"Oil,5.08E–20,"331","0.00","41.35","","","",,'Paige,F,2395'
"Mwanza",Black soils,13.001137,"13629.00","13629.00",13.01834,"Cottonseed",13.01834,"2010.00","0.00","38.58","","","",,'Mariah,F,2383'
"Pwani",Red soils,13.784625,"10589.00","10589.00",5.85E–18,"Oil,5.85E–18,"244","0.00","33.24","","","",,'Brooke,F,2375'
"Rukwa",Laterite soils,1.86E–19,"15600.00","15600.00",13.071873,"Molasses",13.071873,"16560.00","0.00","21.17","","","",,'Willow,F,2373'
"Ruvuma",Desert soils,13.653187,"14471.00","14471.00",13.349257,"Sugar Raw Centrifugal",13.349257,"44988.00","0.00","22.22","","","",,'Jade,F,2369'
"Shinyanga",Mountain soils,13.105878,"29065.00","29065.00",13.000841,"Cotton lint",13.000841,"990.00","0.00","58.04","","","",,'Lyla,F,2368'
"Singida",Saline soils,13.018042,"11407.00","11407.00",8.6E–19,"Wine",8.6E–19,"640.00","0.00","23.35","","","",,'Mya,F,2367'
"Tabora",Alkaline soils,14.547536,"25092.00","25092.00",14.011752,"Cottonseed",14.011752,"1950.00","0.00","33.06","","","",,'Ximena,F,2323'
"Tanga",Peaty soils,3.41E–21,"6707.00","6707.00",2.55E–19,"Oil,2.55E–19,"331","0.00","24.01","","","",,'Luna,F,2314'
"Gauteng",Marshy soils,3.86E–21,"8286.23","8286.23",14.029733,"Cotton lint",14.029733,"1000.00","0.00","44.17","","","",,'Isabel,F,2313'
"Northern Province",Sandy Soil,14.003139,"105483.00","105483.00",5.08E–21,"Beer of barley",5.08E–21,"3250.00","0.00","88.19","","","",,'Mckenzie,F,2303'
"Mpumalanga",Clay Soil,14.001137,"49788.30","49788.30",14.01834,"Oil,14.01834,"244","0.00","60.85","","","",,'Ivy,F,2269'
"Kwazulu-natal",Silt Soil,14.784625,"65293.10","65293.10",5.85E–19,"Oil,5.85E–19,"258","0.00","71.37","","","",,'Josephine,F,2255'
"Eastern Cape",Alluvial soils,1.86E–20,"148177.00","148177.00",14.071873,"Beer of barley",14.071873,"630000.00","0.00","86.85","","","",,'Amy,F,2178'
"Free State",Black soils,14.653187,"117601.00","117601.00",14.349257,"Oil,14.349257,"60","0.00","90.86","","","",,'Laila,F,2133'
"Northern Cape",Red soils,14.105878,"295438.00","295438.00",14.000841,"Sugar Raw Centrifugal",14.000841,"3619844.00","0.00","81.30","","","",,'Isla,F,2122'
"Western Cape",Laterite soils,14.018042,"115606.00","115606.00",8.6E–20,"Molasses",8.6E–20,"1390000.00","0.00","89.35","","","",,'Eden,F,2117'
"North-west",Desert soils,15.547536,"100985.00","100985.00",15.011752,"Oil,15.011752,"237","0.00","85.07","","","",,'Adalyn,F,2105'
"Arusha",Mountain soils,3.41E–22,"34691.00","34691.00",2.55E–20,"Oil,2.55E–20,"244","0.00","41.20","","","",,'Angelina,F,2105'
"Dar es Salaam",Saline soils,3.86E–22,"1038.00","1038.00",15.029733,"Oil,15.029733,"252","0.00","60.10","","","",,'Londyn,F,2081'
"Dodoma",Alkaline soils,15.003139,"11462.00","11462.00",5.08E–22,"Palm kernels",5.08E–22,"129987.00","0.00","27.19","","","",,'Rachel,F,2051'
"Iringa",Peaty soils,15.001137,"19271.00","19271.00",15.01834,"Oil,15.01834,"257","0.00","32.51","","","",,'Melody,F,2048'
"Kagera",Marshy soils,15.784625,"13549.00","13549.00",5.85E–20,"Oil,5.85E–20,"271","0.00","34.52","","","",,'Juliana,F,2045'
"Kigoma",Sandy Soil,1.86E–21,"10705.00","10705.00",15.071873,"Cottonseed",15.071873,"804000.00","0.00","23.26","","","",,'Kaitlyn,F,2044'
"Kilimanjaro",Clay Soil,15.653187,"5318.00","5318.00",15.349257,"Oil,15.349257,"331","0.00","39.91","","","",,'Brooklynn,F,2043'
"Lindi",Silt Soil,15.105878,"14756.00","14756.00",15.000841,"Oil,15.000841,"334","0.00","21.97","","","",,'Destiny,F,2043'
"Mara",Alluvial soils,15.018042,"11400.00","11400.00",8.6E–21,"Wine",8.6E–21,"158000.00","0.00","37.37","","","",,'Emery,F,2026'
"Mbeya",Black soils,16.547536,"13776.00","13776.00",16.011752,"Cotton lint",16.011752,"423481.00","0.00","21.80","","","",,'Gracie,F,2021'
"Morogoro",Red soils,3.41E–23,"23698.00","23698.00",2.55E–21,"Margarine,2.55E–21,"1242","0.00","34.23","","","",,'Norah,F,1994'
"Manyara",Laterite soils,3.86E–23,"","",16.029733,"Oil,16.029733,"334","0.00","","","","",,'Emilia,F,1989'
"Pemba North",Desert soils,16.003139,"","",5.08E–23,"Sugar Raw Centrifugal",5.08E–23,"209000.00","0.00","","","","",,'Reese,F,1960'
"Unguja North",Mountain soils,16.001137,"","",16.01834,"Oil,16.01834,"60","0.00","","","","",,'Elise,F,1959'
"Pemba South",Saline soils,16.784625,"","",5.85E–21,"Beer of barley",5.85E–21,"121976.00","0.00","","","","",,'Sara,F,1949'
"Unguja South",Alkaline soils,1.86E–22,"","",16.071873,"Wine",16.071873,"208000.00","0.00","","","","",,'Aliyah,F,1947'
"Unguja Urban West",Peaty soils,16.653187,"","",16.349257,"Cotton lint",16.349257,"7153.00","0.00","","","","",,'Margaret,F,1933'
"Unguja South",Marshy soils,16.105878,"","",16.000841,Rice,16.000841,"237","0.00","","","","",,'Catherine,F,1923'
"Manyara",Sandy Soil,16.018042,"","",8.6E–22,Rice,8.6E–22,"244","0.00","","","","",,'Vanessa,F,1913'
"Pemba North",Clay Soil,17.547536,"","",17.011752,Rice,17.011752,"258","0.00","","","","",,'Katelyn,F,1910'
"Unguja North",Silt Soil,3.41E–24,"","",2.55E–22,Rice,2.55E–22,"268","0.00","","","","",,'Gabrielle,F,1902'
"Western Cape",Alluvial soils,3.86E–24,"91058.20","91058.20",17.029733,Rice,17.029733,"271","0.00","","","","",,'Arabella,F,1894'
"Rukwa",Black soils,17.003139,"12760.00","12760.00",5.08E–24,"Cottonseed",5.08E–24,"14354.00","0.00","","","","",,'Valeria,F,1882'
"Pemba South",Red soils,17.001137,"","",17.01834,"Molasses",17.01834,"58500.00","0.00","","","","",,'Valerie,F,1871'
"Unguja Urban West",Laterite soils,17.784625,"","",5.85E–22,"Oil,5.85E–22,"331","0.00","","","","",,'Adriana,F,1861'
"Ruvuma",Desert soils,1.86E–23,"7920.00","7920.00",17.071873,"Cottonseed",17.071873,"1482.00","0.00","","","","",,'Everly,F,1854'
"Arusha",Mountain soils,17.653187,"27872.00","27872.00",17.349257,"Oil,17.349257,"331","0.00","","","","",,'Jessica,F,1779'
"Dar es Salaam",Saline soils,17.105878,"320.00","320.00",17.000841,"Cotton lint",17.000841,"800.00","0.00","","","","",,'Daisy,F,1769'
"Dodoma",Alkaline soils,17.018042,"9119.00","9119.00",8.6E–23,"Beer of barley",8.6E–23,"3861.00","0.00","","","","",,'Makenzie,F,1766'
